Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-18,SiO2,"(0, 0, 1)","(1, 0, 0)","(2, 1)","(7, 6)",0.03197767874260071,0.0
PPF-18,SiO2,"(0, 1, 0)","(1, 0, 0)","(2, 3)","(7, 9)",0.03197767874260071,0.0
PPF-18,SiO2,"(0, 1, 0)","(1, 1, 0)","(1, 4)","(3, 8)",0.029280991685268702,0.0
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-18,Al2O3,"(0, 0, 1)","(1, 0, 0)","(2, 2)","(7, 5)",0.0150961243976476,0.0
PPF-18,Al2O3,"(0, 0, 1)","(1, 1, 0)","(1, 2)","(2, 5)",0.0150961243976476,0.0
PPF-18,Al2O3,"(1, 1, 1)","(0, 1, 1)","(1, 3)","(5, 8)",0.02240964185719791,0.1601246841121211
PPF-18,Al2O3,"(1, 1, 1)","(1, 0, 1)","(1, 3)","(5, 8)",0.02240964185719791,0.1601246841121211
PPF-18,Al2O3,"(0, 1, 0)","(1, 0, 0)","(2, 7)","(7, 9)",0.0015616837261002731,0.0
PPF-18,Al2O3,"(0, 1, 0)","(1, 1, 0)","(1, 7)","(2, 9)",0.01144616014310371,0.0
PPF-18,Al2O3,"(1, 0, 1)","(1, 0, 0)","(1, 2)","(5, 5)",0.0150961243976476,0.0
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-18,ZnO,"(0, 0, 1)","(1, 0, 0)","(1, 1)","(5, 6)",0.026242989064915224,0.0
PPF-18,ZnO,"(1, 1, 0)","(1, 0, 0)","(1, 1)","(5, 7)",0.026242989064915224,0.0
PPF-18,ZnO,"(1, 1, 1)","(1, 0, 0)","(1, 1)","(7, 7)",0.036341848389542054,0.33298342556473215
PPF-18,ZnO,"(1, 1, 1)","(0, 1, 1)","(1, 1)","(7, 6)",0.036341848389542054,0.06503996415704916
PPF-18,ZnO,"(1, 0, 1)","(1, 0, 0)","(1, 1)","(7, 6)",0.036341848389542054,0.0
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-18,TiO2-a,"(0, 0, 1)","(1, 0, 0)","(2, 2)","(9, 7)",0.039849252156548616,0.0
PPF-18,TiO2-a,"(0, 0, 1)","(1, 1, 0)","(3, 2)","(9, 7)",0.039849252156548616,0.0
PPF-18,TiO2-a,"(1, 1, 0)","(0, 1, 1)","(2, 2)","(9, 7)",0.020616844109960463,0.0
PPF-18,TiO2-a,"(1, 1, 1)","(1, 1, 1)","(2, 2)","(9, 7)",0.02061684410996029,0.0685897127634616
PPF-18,TiO2-a,"(1, 1, 1)","(0, 1, 1)","(1, 2)","(6, 7)",0.038269271808010694,0.33298342556473215
PPF-18,TiO2-a,"(0, 1, 0)","(0, 0, 1)","(2, 2)","(9, 9)",0.020616844109960463,0.0
PPF-18,TiO2-a,"(0, 1, 0)","(1, 0, 0)","(2, 5)","(9, 9)",0.020616844109960463,0.0
PPF-18,TiO2-a,"(0, 1, 0)","(1, 1, 0)","(3, 5)","(9, 9)",0.038269271808010805,0.0
PPF-18,TiO2-a,"(0, 1, 0)","(0, 1, 1)","(2, 5)","(9, 8)",0.020616844109960463,0.0
PPF-18,TiO2-a,"(1, 0, 1)","(1, 0, 0)","(1, 2)","(6, 7)",0.039849252156548616,0.0
PPF-18,TiO2-a,"(1, 0, 1)","(1, 1, 0)","(2, 2)","(9, 7)",0.039849252156548616,0.0
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-18,TiO2-r,"(0, 0, 1)","(0, 0, 1)","(2, 1)","(7, 7)",0.036754347809497545,0.0
PPF-18,TiO2-r,"(0, 0, 1)","(0, 1, 1)","(2, 1)","(7, 6)",0.036754347809497545,0.0
PPF-18,TiO2-r,"(1, 1, 0)","(0, 0, 1)","(2, 1)","(7, 8)",0.036754347809497545,0.0
PPF-18,TiO2-r,"(1, 1, 1)","(0, 0, 1)","(1, 1)","(5, 8)",0.026655554114769723,0.33298342556473215
PPF-18,TiO2-r,"(1, 1, 1)","(1, 0, 0)","(1, 1)","(8, 8)",0.018282159983561606,0.33298342556473215
PPF-18,TiO2-r,"(0, 1, 0)","(0, 0, 1)","(2, 2)","(7, 7)",0.036754347809497545,0.0
PPF-18,TiO2-r,"(0, 1, 0)","(0, 1, 1)","(2, 3)","(7, 9)",0.036754347809497545,0.0
PPF-18,TiO2-r,"(1, 0, 1)","(0, 0, 1)","(1, 1)","(5, 7)",0.026655554114769723,0.0
PPF-18,TiO2-r,"(1, 0, 1)","(1, 0, 0)","(1, 1)","(8, 7)",0.004947107718828565,0.0
PPF-18,TiO2-r,"(1, 0, 1)","(1, 1, 0)","(1, 1)","(8, 5)",0.015048187488290534,0.0
PPF-18,TiO2-r,"(1, 0, 1)","(0, 1, 1)","(1, 1)","(5, 6)",0.026655554114769723,0.0
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-18,In2O3,"(0, 0, 1)","(1, 1, 0)","(3, 4)","(5, 9)",0.010748371248106998,0.0
PPF-18,In2O3,"(1, 1, 0)","(0, 0, 1)","(3, 2)","(5, 7)",0.01895103108355482,0.0
PPF-18,In2O3,"(1, 1, 0)","(1, 1, 0)","(3, 2)","(5, 5)",0.010748371248106998,0.0
PPF-18,In2O3,"(1, 1, 1)","(0, 0, 1)","(3, 2)","(7, 7)",0.018951031083554625,0.33298342556473215
PPF-18,In2O3,"(1, 1, 1)","(1, 1, 0)","(3, 2)","(7, 5)",0.008850186863438962,0.33298342556473215
