Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-27,Al2O3,"(1, 0, 1)","(1, 0, 0)","(1, 4)","(5, 8)",0.038808065990186144,0.0
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-27,ZnO,"(1, 1, 0)","(1, 0, 0)","(1, 1)","(5, 6)",0.03867527904890494,0.0
PPF-27,ZnO,"(1, 1, 1)","(1, 0, 0)","(1, 1)","(7, 6)",0.03867527904890494,0.40331794020056866
PPF-27,ZnO,"(1, 1, 1)","(0, 1, 1)","(1, 1)","(7, 5)",0.036341848389542054,0.13537447879288567
PPF-27,ZnO,"(1, 0, 1)","(1, 1, 0)","(2, 2)","(9, 9)",0.013119446551540143,0.0
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-27,TiO2-a,"(0, 0, 1)","(1, 0, 0)","(2, 3)","(9, 8)",0.020616844109960463,0.0
PPF-27,TiO2-a,"(0, 0, 1)","(1, 1, 0)","(3, 3)","(9, 8)",0.038269271808010805,0.0
PPF-27,TiO2-a,"(0, 0, 1)","(0, 1, 1)","(2, 2)","(9, 5)",0.023668607340107225,0.0
PPF-27,TiO2-a,"(1, 1, 0)","(0, 0, 1)","(2, 1)","(9, 8)",0.020616844109960463,0.0
PPF-27,TiO2-a,"(1, 1, 0)","(0, 1, 1)","(2, 3)","(9, 9)",0.021855962817135206,0.0
PPF-27,TiO2-a,"(1, 1, 1)","(0, 0, 1)","(1, 1)","(6, 8)",0.038269271808010694,0.40331794020056866
PPF-27,TiO2-a,"(1, 1, 1)","(1, 1, 1)","(2, 3)","(9, 9)",0.021855962817135206,0.1389242273992981
PPF-27,TiO2-a,"(1, 1, 1)","(0, 1, 1)","(1, 3)","(6, 9)",0.038269271808010694,0.40331794020056866
PPF-27,TiO2-a,"(0, 1, 0)","(0, 0, 1)","(2, 2)","(9, 9)",0.020616844109960463,0.0
PPF-27,TiO2-a,"(0, 1, 0)","(1, 0, 0)","(2, 5)","(9, 9)",0.020616844109960463,0.0
PPF-27,TiO2-a,"(0, 1, 0)","(1, 1, 0)","(3, 5)","(9, 9)",0.038269271808010805,0.0
PPF-27,TiO2-a,"(0, 1, 0)","(0, 1, 1)","(2, 5)","(9, 8)",0.020616844109960463,0.0
PPF-27,TiO2-a,"(1, 0, 1)","(1, 0, 0)","(1, 3)","(6, 8)",0.038269271808010694,0.0
PPF-27,TiO2-a,"(1, 0, 1)","(1, 1, 0)","(2, 3)","(9, 8)",0.02061684410996029,0.0
PPF-27,TiO2-a,"(1, 0, 1)","(0, 1, 1)","(1, 2)","(6, 5)",0.038269271808010694,0.0
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-27,TiO2-r,"(0, 0, 1)","(0, 1, 1)","(2, 2)","(7, 9)",0.036754347809497545,0.0
PPF-27,TiO2-r,"(1, 1, 1)","(1, 1, 0)","(1, 2)","(8, 9)",0.027584653196552372,0.40331794020056866
PPF-27,TiO2-r,"(0, 1, 0)","(0, 0, 1)","(2, 2)","(7, 7)",0.036754347809497545,0.0
PPF-27,TiO2-r,"(0, 1, 0)","(0, 1, 1)","(2, 3)","(7, 9)",0.036754347809497545,0.0
PPF-27,TiO2-r,"(1, 0, 1)","(1, 1, 0)","(1, 2)","(8, 8)",0.03876014438599935,0.0
PPF-27,TiO2-r,"(1, 0, 1)","(0, 1, 1)","(1, 2)","(5, 9)",0.026655554114769723,0.0
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-27,In2O3,"(0, 0, 1)","(0, 0, 1)","(3, 2)","(5, 5)",0.01163195307451425,0.0
PPF-27,In2O3,"(0, 0, 1)","(1, 1, 0)","(3, 5)","(5, 9)",0.010748371248106998,0.0
PPF-27,In2O3,"(1, 1, 0)","(0, 0, 1)","(3, 3)","(5, 9)",0.010748371248106998,0.0
PPF-27,In2O3,"(1, 1, 1)","(0, 0, 1)","(3, 3)","(7, 9)",0.00981912586564745,0.40331794020056866
PPF-27,In2O3,"(0, 1, 0)","(0, 0, 1)","(3, 5)","(5, 8)",0.010748371248106998,0.0
PPF-27,In2O3,"(0, 1, 0)","(1, 1, 0)","(3, 8)","(5, 9)",0.010748371248106998,0.0
PPF-27,In2O3,"(1, 0, 1)","(0, 0, 1)","(3, 2)","(7, 5)",0.01163195307451425,0.0
PPF-27,In2O3,"(1, 0, 1)","(1, 1, 0)","(3, 5)","(7, 9)",0.0015307302720556392,0.0
