Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-27,SiO2,"(0, 0, 1)","(1, 0, 0)","(2, 2)","(7, 9)",0.03197767874260071,0.0
PPF-27,SiO2,"(0, 0, 1)","(1, 1, 0)","(1, 3)","(3, 9)",0.029280991685268702,0.0
PPF-27,SiO2,"(1, 1, 0)","(1, 1, 0)","(1, 2)","(3, 7)",0.029280991685268702,0.0
PPF-27,SiO2,"(1, 1, 1)","(1, 1, 0)","(2, 2)","(9, 7)",0.02960627095145204,0.40331794020056866
PPF-27,SiO2,"(0, 1, 0)","(1, 0, 0)","(2, 3)","(7, 9)",0.03197767874260071,0.0
PPF-27,SiO2,"(0, 1, 0)","(1, 1, 0)","(1, 4)","(3, 8)",0.029280991685268702,0.0
PPF-27,SiO2,"(1, 0, 1)","(1, 1, 0)","(2, 3)","(9, 9)",0.02960627095145204,0.0
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-27,Al2O3,"(0, 0, 1)","(1, 0, 0)","(2, 4)","(7, 8)",0.038808065990186144,0.0
PPF-27,Al2O3,"(0, 0, 1)","(1, 1, 0)","(1, 4)","(2, 8)",0.038808065990186144,0.0
PPF-27,Al2O3,"(1, 1, 0)","(1, 0, 0)","(2, 4)","(7, 9)",0.008829123923933894,0.0
PPF-27,Al2O3,"(1, 1, 0)","(1, 1, 0)","(1, 4)","(2, 9)",0.01144616014310371,0.0
PPF-27,Al2O3,"(1, 1, 1)","(1, 0, 0)","(1, 4)","(5, 9)",0.00896465210900752,0.40331794020056866
PPF-27,Al2O3,"(1, 1, 1)","(0, 1, 1)","(1, 4)","(5, 9)",0.03542931912437311,0.23045919874795762
PPF-27,Al2O3,"(1, 1, 1)","(1, 0, 1)","(1, 4)","(5, 9)",0.03542931912437311,0.23045919874795762
PPF-27,Al2O3,"(0, 1, 0)","(1, 0, 0)","(2, 7)","(7, 9)",0.0015616837261002731,0.0
PPF-27,Al2O3,"(0, 1, 0)","(1, 1, 0)","(1, 7)","(2, 9)",0.01144616014310371,0.0
