Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-4,SiO2,"(0, 1, 0)","(1, 0, 0)","(2, 3)","(7, 9)",0.031125236234587565,8.418628469897271e-07
PPF-4,SiO2,"(0, 1, 0)","(1, 1, 0)","(1, 4)","(3, 8)",0.03112439457633895,8.418628469897271e-07
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-4,Al2O3,"(1, 1, 0)","(1, 0, 0)","(2, 2)","(7, 9)",0.02978993613167701,2.478759504320749e-07
PPF-4,Al2O3,"(1, 1, 0)","(1, 1, 0)","(3, 2)","(6, 9)",0.02978993613167701,2.478759504320749e-07
PPF-4,Al2O3,"(1, 1, 1)","(1, 0, 0)","(1, 2)","(8, 9)",0.0297898631639116,0.2664963460230474
PPF-4,Al2O3,"(1, 1, 1)","(1, 1, 0)","(2, 2)","(9, 9)",0.0297898631639116,0.2664963460230474
PPF-4,Al2O3,"(1, 1, 1)","(0, 1, 1)","(1, 2)","(8, 8)",0.025018175373170557,0.09363760457043635
PPF-4,Al2O3,"(1, 1, 1)","(1, 0, 1)","(1, 2)","(8, 8)",0.025018175373170557,0.09363760457043635
PPF-4,Al2O3,"(0, 1, 0)","(1, 0, 0)","(2, 7)","(7, 9)",0.0029804628125901225,8.418628469897271e-07
PPF-4,Al2O3,"(0, 1, 0)","(1, 1, 0)","(3, 7)","(6, 9)",0.013289913007755953,8.418628469897271e-07
PPF-4,Al2O3,"(0, 1, 1)","(1, 0, 0)","(1, 2)","(5, 9)",0.02978993613167701,0.20973277984877847
PPF-4,Al2O3,"(0, 1, 1)","(0, 1, 1)","(1, 2)","(5, 8)",0.025018102400633256,0.03687403839616743
PPF-4,Al2O3,"(0, 1, 1)","(1, 0, 1)","(1, 2)","(5, 8)",0.025018102400633256,0.03687403839616743
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-4,TiO2-a,"(1, 1, 0)","(1, 0, 0)","(2, 1)","(9, 6)",0.018772357747672982,2.478759504320749e-07
PPF-4,TiO2-a,"(1, 1, 1)","(1, 1, 0)","(1, 1)","(7, 6)",0.005760001987018681,0.2664963460230474
PPF-4,TiO2-a,"(0, 1, 0)","(0, 0, 1)","(2, 2)","(9, 9)",0.018773199535639065,8.418628469897271e-07
PPF-4,TiO2-a,"(0, 1, 0)","(1, 0, 0)","(2, 5)","(9, 9)",0.018773199535639065,8.418628469897271e-07
PPF-4,TiO2-a,"(0, 1, 0)","(0, 1, 1)","(2, 5)","(9, 8)",0.019879902255417227,8.418628469897271e-07
PPF-4,TiO2-a,"(0, 1, 1)","(1, 1, 0)","(2, 1)","(9, 6)",0.01877319953599334,0.20973277984877847
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-4,TiO2-r,"(0, 1, 0)","(0, 0, 1)","(2, 2)","(7, 7)",0.038598358418555856,8.418628469897271e-07
PPF-4,TiO2-r,"(0, 1, 0)","(0, 1, 1)","(2, 3)","(7, 9)",0.03859751686996961,8.418628469897271e-07
PPF-4,TiO2-r,"(0, 1, 1)","(1, 1, 0)","(1, 1)","(8, 9)",0.02974200711849503,0.20973277984877847
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-4,In2O3,"(1, 1, 0)","(1, 1, 0)","(3, 2)","(5, 8)",0.00890375053613169,2.478759504320749e-07
PPF-4,In2O3,"(0, 1, 0)","(0, 0, 1)","(3, 5)","(5, 8)",0.00890459238158291,8.418628469897271e-07
PPF-4,In2O3,"(0, 1, 0)","(1, 1, 0)","(3, 8)","(5, 9)",0.00890459238158291,8.418628469897271e-07
PPF-4,In2O3,"(0, 1, 1)","(1, 1, 0)","(3, 2)","(7, 8)",0.008258242379558982,0.20973277984877847
