Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-5,SiO2,"(0, 0, 1)","(1, 1, 0)","(2, 3)","(9, 8)",0.039068072635302944,0.0
PPF-5,SiO2,"(1, 0, 0)","(1, 1, 0)","(2, 3)","(5, 8)",0.039068072635302944,0.0
PPF-5,SiO2,"(1, 1, 0)","(1, 1, 0)","(2, 2)","(5, 8)",0.0303831634234858,0.0
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-5,Al2O3,"(0, 0, 1)","(1, 0, 0)","(1, 5)","(5, 9)",0.010391861735586351,0.0
PPF-5,Al2O3,"(1, 0, 0)","(1, 0, 0)","(1, 5)","(3, 9)",0.02593036533728629,0.0
PPF-5,Al2O3,"(1, 0, 0)","(1, 1, 0)","(3, 5)","(5, 9)",0.01254853748664919,0.0
PPF-5,Al2O3,"(1, 1, 0)","(1, 0, 0)","(1, 3)","(3, 8)",0.0284595574373809,0.0
PPF-5,Al2O3,"(1, 1, 0)","(1, 1, 0)","(3, 3)","(5, 8)",0.0284595574373809,0.0
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-5,ZnO,"(0, 0, 1)","(1, 0, 0)","(1, 2)","(7, 9)",0.03819349074741998,0.0
PPF-5,ZnO,"(1, 1, 0)","(1, 1, 0)","(3, 1)","(8, 6)",0.010383646291461525,0.0
PPF-5,ZnO,"(0, 1, 1)","(1, 1, 0)","(2, 1)","(9, 5)",0.025805068776808857,0.0
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-5,TiO2-a,"(0, 0, 1)","(1, 1, 0)","(2, 2)","(9, 5)",0.01876473814717559,0.0
PPF-5,TiO2-a,"(1, 0, 0)","(1, 1, 0)","(3, 2)","(8, 5)",0.02516083319648536,0.0
PPF-5,TiO2-a,"(1, 1, 0)","(1, 1, 0)","(3, 2)","(8, 7)",0.02516083319648536,0.0
PPF-5,TiO2-a,"(1, 1, 1)","(0, 0, 1)","(1, 1)","(7, 7)",0.034801308348163876,0.2603773015327202
PPF-5,TiO2-a,"(1, 1, 1)","(1, 0, 0)","(1, 3)","(7, 9)",0.03988498655505497,0.2603773015327202
PPF-5,TiO2-a,"(1, 1, 1)","(1, 1, 0)","(1, 3)","(5, 9)",0.03988498655505497,0.2603773015327202
PPF-5,TiO2-a,"(1, 1, 1)","(1, 1, 1)","(1, 3)","(5, 8)",0.024702211518867714,0.004016411268550346
PPF-5,TiO2-a,"(1, 1, 1)","(0, 1, 1)","(1, 3)","(7, 8)",0.034801308348163876,0.2603773015327202
PPF-5,TiO2-a,"(0, 1, 1)","(1, 1, 0)","(2, 3)","(9, 9)",0.03988498655505497,0.0
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-5,TiO2-r,"(0, 0, 1)","(0, 0, 1)","(1, 1)","(5, 5)",0.028507487345859686,0.0
PPF-5,TiO2-r,"(0, 0, 1)","(1, 0, 0)","(1, 1)","(8, 5)",0.028507487345859686,0.0
PPF-5,TiO2-r,"(0, 0, 1)","(1, 1, 0)","(1, 2)","(8, 7)",0.038605975851335454,0.0
PPF-5,TiO2-r,"(0, 0, 1)","(0, 1, 1)","(1, 2)","(5, 9)",0.03962603703921224,0.0
PPF-5,TiO2-r,"(1, 0, 0)","(0, 0, 1)","(1, 1)","(3, 5)",0.028507487345859686,0.0
PPF-5,TiO2-r,"(1, 0, 0)","(0, 1, 1)","(1, 2)","(3, 9)",0.03962603703921224,0.0
PPF-5,TiO2-r,"(1, 1, 0)","(0, 0, 1)","(1, 1)","(3, 7)",0.03860597585133539,0.0
PPF-5,TiO2-r,"(1, 1, 0)","(0, 1, 1)","(1, 1)","(3, 6)",0.019259699048972546,0.0
PPF-5,TiO2-r,"(1, 1, 1)","(0, 0, 1)","(1, 1)","(6, 6)",0.004982856101617809,0.2603773015327202
PPF-5,TiO2-r,"(1, 1, 1)","(1, 0, 0)","(1, 1)","(9, 6)",0.029505178616218188,0.2603773015327202
PPF-5,TiO2-r,"(1, 1, 1)","(0, 1, 1)","(1, 1)","(6, 5)",0.004982856101617809,0.2603773015327202
PPF-5,TiO2-r,"(0, 1, 1)","(0, 0, 1)","(1, 1)","(5, 6)",0.028507487345859686,0.0
PPF-5,TiO2-r,"(0, 1, 1)","(1, 0, 0)","(1, 1)","(8, 6)",0.004982856101617809,0.0
PPF-5,TiO2-r,"(0, 1, 1)","(0, 1, 1)","(1, 1)","(5, 5)",0.028507487345859686,0.0
Material 1,Material 2,Surface 1,Surface 2,Multiplicity 1,Multiplicity 2,Maximum strain,Angle strain
PPF-5,In2O3,"(0, 0, 1)","(0, 0, 1)","(3, 4)","(7, 9)",0.001205164425916861,0.0
PPF-5,In2O3,"(0, 0, 1)","(1, 1, 0)","(3, 5)","(7, 8)",0.008896130415456616,0.0
PPF-5,In2O3,"(1, 0, 0)","(0, 0, 1)","(5, 4)","(7, 9)",0.017613771932636142,0.0
PPF-5,In2O3,"(1, 0, 0)","(1, 1, 0)","(5, 5)","(7, 8)",0.017613771932636142,0.0
PPF-5,In2O3,"(1, 1, 0)","(1, 1, 0)","(5, 4)","(7, 9)",0.017613771932636142,0.0
PPF-5,In2O3,"(1, 1, 1)","(0, 0, 1)","(3, 3)","(8, 8)",0.016502669593109087,0.2603773015327202
PPF-5,In2O3,"(0, 1, 1)","(0, 0, 1)","(3, 3)","(7, 8)",0.016502669593109087,0.0
